N;Second;Milisecond
1;47;492
2;47;514
3;47;544
4;47;575
5;47;606
6;47;637
7;47;668
8;47;698
9;47;730
10;47;761
11;47;793
12;47;824
13;47;855
14;47;886
15;47;918
16;47;949
17;47;980
18;48;11
19;48;42
20;48;74
21;48;103
22;48;134
23;48;165
24;48;196
25;48;227
26;48;259
27;48;291
28;48;322
29;48;353
30;48;384
31;48;415
32;48;446
33;48;478
34;48;509
35;48;539
36;48;571
37;48;602
38;48;633
39;48;664
40;48;696
41;48;726
42;48;757
43;48;788
44;48;820
45;48;851
46;48;880
47;48;910
48;48;942
49;48;973
50;49;4
51;49;35
52;49;66
53;49;98
54;49;129
55;49;159
56;49;190
57;49;222
58;49;253
59;49;283
60;49;314
61;49;346
62;49;377
63;49;408
64;49;438
65;49;469
66;49;500
67;49;530
68;49;562
69;49;593
70;49;625
71;49;654
72;49;685
73;49;715
74;49;746
75;49;776
76;49;807
77;49;838
78;49;869
79;49;900
80;49;931
81;49;961
82;49;992
83;50;23
84;50;55
85;50;86
86;50;117
87;50;148
88;50;179
89;50;210
90;50;241
91;50;272
92;50;304
93;50;334
94;50;365
95;50;396
96;50;427
97;50;458
98;50;489
99;50;521
100;50;552
101;50;584
102;50;615
103;50;647
104;50;671
105;50;702
106;50;733
107;50;764
108;50;795
109;50;827
110;50;857
111;50;888
112;50;918
113;50;949
114;50;979
115;51;10
116;51;41
117;51;71
118;51;102
119;51;132
120;51;163
121;51;193
122;51;225
123;51;256
124;51;288
125;51;320
126;51;351
127;51;382
128;51;412
129;51;444
130;51;475
131;51;505
132;51;536
133;51;567
134;51;598
135;51;630
136;51;661
137;51;695
138;51;726
139;51;756
140;51;787
141;51;817
142;51;849
143;51;879
144;51;910
145;51;941
146;51;972
147;52;3
148;52;34
149;52;65
150;52;96
151;52;128
152;52;158
153;52;189
154;52;219
155;52;251
156;52;283
157;52;313
158;52;344
159;52;375
160;52;406
161;52;437
162;52;469
163;52;499
164;52;530
165;52;562
166;52;593
167;52;625
168;52;656
169;52;687
170;52;718
171;52;749
172;52;780
173;52;811
174;52;842
175;52;872
176;52;903
177;52;934
178;52;965
179;52;997
180;53;27
181;53;58
182;53;89
183;53;120
184;53;151
185;53;181
186;53;211
187;53;242
188;53;273
189;53;304
190;53;335
191;53;366
192;53;396
193;53;428
194;53;460
195;53;491
196;53;522
197;53;553
198;53;584
199;53;615
200;53;646
